targetID	alnScore	seqIdentity	eVal	locus_tag_nissle	locus_tag_k12
NZ_CP082949.1_cds_3144	NC_000913.3_cds_b4623_4192	0.973	788	K8943_RS16130	b4623
NZ_CP082949.1_cds_3153	NC_000913.3_cds_NP_418732.1_4222	0.99	408	K8943_RS16175	b4312
NZ_CP082949.1_cds_3166	NC_000913.3_cds_NP_418745.3_4235	0.958	650	K8943_RS16240	b4325
NZ_CP082949.1_cds_355	NC_000913.3_cds_NP_416313.4_1793	0.97	168	K8943_RS01795	b1799
NZ_CP082949.1_cds_356	NC_000913.3_cds_NP_416314.1_1794	0.928	154	K8943_RS01800	b1800
NZ_CP082949.1_cds_3587	NC_000913.3_cds_NP_414829.1_291	0.937	191	K8943_RS18395	b0295
NZ_CP082949.1_cds_36	NC_000913.3_cds_NP_415967.2_1438	0.939	149	K8943_RS00180	b1450
NZ_CP082949.1_cds_3628	NC_000913.3_cds_NP_414861.2_322	0.963	246	K8943_RS18605	b0327
NZ_CP082949.1_cds_3806	NC_000913.3_cds_NP_415060.1_516	0.965	522	K8943_RS19500	b0527
NZ_CP082949.1_cds_3810	NC_000913.3_cds_NP_415069.1_525	0.899	606	K8943_RS19525	b0537
NZ_CP082949.1_cds_3811	NC_000913.3_cds_NP_416064.1_1533	0.926	271	K8943_RS19530	b1546
NZ_CP082949.1_cds_3875	NC_000913.3_cds_NP_415162.4_620	0.967	153	K8943_RS19850	b0629
NZ_CP082949.1_cds_3946	NC_000913.3_cds_NP_415244.4_695	0.898	394	K8943_RS20240	b0716
NZ_CP082949.1_cds_3971	NC_000913.3_cds_NP_415273.1_726	0.981	372	K8943_RS20400	b0752
NZ_CP082949.1_cds_399	NC_000913.3_cds_NP_416359.1_1841	0.968	2061	K8943_RS02015	b1845
NZ_CP082949.1_cds_40	NC_000913.3_cds_NP_415971.1_1442	0.928	617	K8943_RS00200	b1454
NZ_CP082949.1_cds_4018	NC_000913.3_cds_NP_415319.1_772	0.898	198	K8943_RS20635	b0798
NZ_CP082949.1_cds_4198	NC_000913.3_cds_NP_415513.2_972	0.958	2745	K8943_RS21545	b0993
NZ_CP082949.1_cds_4206	NC_000913.3_cds_NP_415521.1_980	0.937	96	K8943_RS21585	b1001
NZ_CP082949.1_cds_4280	NC_000913.3_cds_NP_414833.1_296	0.804	867	K8943_RS21945	b0299
NZ_CP082949.1_cds_4443	NC_000913.3_cds_NP_415658.1_1114	0.702	131	K8943_RS22770	b1140
NZ_CP082949.1_cds_4460	NC_000913.3_cds_NP_415081.1_537	0.954	88	K8943_RS22860	b0549
NZ_CP082949.1_cds_4508	NC_000913.3_cds_NP_415686.2_1142	0.975	894	K8943_RS23110	b1168
NZ_CP082949.1_cds_4516	NC_000913.3_cds_NP_417134.2_2623	0.95	345	K8943_RS23160	b2647
NZ_CP082949.1_cds_4525	NC_000913.3_cds_NP_415700.4_1157	0.966	324	K8943_RS23205	b1182
NZ_CP082949.1_cds_4591	NC_000913.3_cds_NP_418698.1_4188	0.977	899	K8943_RS23550	b4278
NZ_CP082949.1_cds_4644	NC_000913.3_cds_YP_002791239.1_1269	0.98	105	K8943_RS23815	b4672
NZ_CP082949.1_cds_4683	NC_000913.3_cds_NP_415842.2_1310	0.968	729	K8943_RS24010	b1326
NZ_CP082949.1_cds_4693	NC_000913.3_cds_NP_415852.2_1322	0.84	150	K8943_RS24060	b1336
NZ_CP082949.1_cds_4703	NC_000913.3_cds_NP_415861.1_1333	0.974	231	K8943_RS24110	b1345
NZ_CP082949.1_cds_4721	NC_000913.3_cds_NP_415930.1_1400	0.944	396	K8943_RS24200	b1412
NZ_CP082949.1_cds_51	NC_000913.3_cds_NP_415977.1_1446	0.909	144	K8943_RS00255	b1460
NZ_CP082949.1_cds_559	NC_000913.3_cds_NP_416460.1_1943	0.971	762	K8943_RS02835	b1950
NZ_CP082949.1_cds_560	NC_000913.3_cds_NP_416465.2_1948	0.978	1233	K8943_RS02840	b1956
NZ_CP082949.1_cds_615	NC_000913.3_cds_NP_416485.4_1965	0.92	1678	K8943_RS03125	b1978
NZ_CP082949.1_cds_73	NC_000913.3_cds_NP_416007.3_1475	0.981	165	K8943_RS00365	b1490
NZ_CP082949.1_cds_809	NC_000913.3_cds_YP_588459.1_2099	0.962	318	K8943_RS04115	b4541
NZ_CP082949.1_cds_829	NC_000913.3_cds_NP_416641.1_2119	0.958	762	K8943_RS04215	b2137
NZ_CP082949.1_cds_9	NC_000913.3_cds_YP_025301.1_1407	0.971	105	K8943_RS00045	b4428
NZ_CP082949.1_cds_900	NC_000913.3_cds_b2190_2171	0.947	472	K8943_RS04575	b2190
NZ_CP082949.1_cds_WP_000002278.1_2896	NC_000913.3_cds_NP_418522.1_4017	0.947	846	K8943_RS14865	b4098
NZ_CP082949.1_cds_WP_000002542.1_1232	NC_000913.3_cds_NP_417063.1_2549	0.984	975	K8943_RS06265	b2568
NZ_CP082949.1_cds_WP_000002907.1_2817	NC_000913.3_cds_NP_418466.1_3958	0.972	369	K8943_RS14470	b4042
NZ_CP082949.1_cds_WP_000002950.1_3054	NC_000913.3_cds_NP_418676.1_4168	0.976	417	K8943_RS15675	b4255
NZ_CP082949.1_cds_WP_000003071.1_1511	NC_000913.3_cds_NP_417366.1_2841	0.98	1518	K8943_RS07730	b2890
NZ_CP082949.1_cds_WP_000003165.1_765	NC_000913.3_cds_NP_416577.1_2057	0.96	660	K8943_RS03895	b2073
NZ_CP082949.1_cds_WP_000003323.1_1185	NC_000913.3_cds_NP_417012.1_2495	0.98	1155	K8943_RS06035	b2517
NZ_CP082949.1_cds_WP_000003377.1_2353	NC_000913.3_cds_NP_418066.1_3551	0.98	468	K8943_RS12010	b3609
NZ_CP082949.1_cds_WP_000003641.1_4185	NC_000913.3_cds_NP_415494.1_950	0.95	588	K8943_RS21480	b0975
NZ_CP082949.1_cds_WP_000003806.1_2927	NC_000913.3_cds_NP_418553.1_4048	0.988	1518	K8943_RS15020	b4129
NZ_CP082949.1_cds_WP_000003823.1_3365	NC_000913.3_cds_NP_414656.1_114	0.987	2664	K8943_RS17250	b0114
NZ_CP082949.1_cds_WP_000004079.1_3654	NC_000913.3_cds_NP_414902.1_362	0.941	852	K8943_RS18735	b0368
NZ_CP082949.1_cds_WP_000004399.1_3276	NC_000913.3_cds_NP_414578.2_36	0.982	786	K8943_RS16805	b0036
NZ_CP082949.1_cds_WP_000004425.1_2015	NC_000913.3_cds_NP_417746.1_3222	0.963	948	K8943_RS10315	b3288
NZ_CP082949.1_cds_WP_000004487.1_1927	NC_000913.3_cds_NP_417658.4_3136	0.979	294	K8943_RS09840	b3191
NZ_CP082949.1_cds_WP_000004599.1_1474	NC_000913.3_cds_NP_417312.1_2793	0.98	1194	K8943_RS07540	b2835
NZ_CP082949.1_cds_WP_000004655.1_3267	NC_000913.3_cds_NP_414569.1_28	1.0	450	K8943_RS16760	b0028
NZ_CP082949.1_cds_WP_000004771.1_2954	NC_000913.3_cds_NP_418579.2_4075	0.988	978	K8943_RS15160	b4155
NZ_CP082949.1_cds_WP_000004936.1_4187	NC_000913.3_cds_NP_415496.1_952	0.972	858	K8943_RS21490	b0977
NZ_CP082949.1_cds_WP_000005044.1_3346	NC_000913.3_cds_NP_414643.1_101	0.989	198	K8943_RS17155	b0101
NZ_CP082949.1_cds_WP_000006609.1_2546	NC_000913.3_cds_YP_026254.1_3726	0.972	1263	K8943_RS13010	b3787
NZ_CP082949.1_cds_WP_000006816.1_3703	NC_000913.3_cds_NP_414954.1_412	0.97	1863	K8943_RS18980	b0420
NZ_CP082949.1_cds_WP_000006873.1_3790	NC_000913.3_cds_NP_415045.1_501	0.972	1362	K8943_RS19420	b0512
NZ_CP082949.1_cds_WP_000006986.1_2102	NC_000913.3_cds_NP_417838.1_3315	0.961	879	K8943_RS10750	b3379
NZ_CP082949.1_cds_WP_000007116.1_4017	NC_000913.3_cds_NP_415318.1_771	0.956	1365	K8943_RS20630	b0797
NZ_CP082949.1_cds_WP_000007283.1_209	NC_000913.3_cds_NP_416173.1_1649	0.991	582	K8943_RS01055	b1656
NZ_CP082949.1_cds_WP_000007515.1_2719	NC_000913.3_cds_NP_418376.1_3870	0.951	891	K8943_RS13915	b3941
NZ_CP082949.1_cds_WP_000007629.1_3690	NC_000913.3_cds_NP_414941.1_399	0.981	333	K8943_RS18915	b0407
NZ_CP082949.1_cds_WP_000009302.1_561	NC_000913.3_cds_NP_416466.1_1949	0.989	183	K8943_RS02845	b1957
NZ_CP082949.1_cds_WP_000010139.1_375	NC_000913.3_cds_NP_416336.1_1817	0.975	810	K8943_RS01895	b1822
NZ_CP082949.1_cds_WP_000010237.1_3635	NC_000913.3_cds_NP_414869.1_329	0.959	1887	K8943_RS18640	b0335
NZ_CP082949.1_cds_WP_000010762.1_1329	NC_000913.3_cds_NP_417189.2_2669	0.957	1515	K8943_RS06800	b2709
NZ_CP082949.1_cds_WP_000010833.1_3137	NC_000913.3_cds_NP_418725.4_4214	0.994	1122	K8943_RS16095	b4305
NZ_CP082949.1_cds_WP_000011131.1_4364	NC_000913.3_cds_NP_415575.1_1030	0.975	567	K8943_RS22375	b1057
NZ_CP082949.1_cds_WP_000011621.1_4136	NC_000913.3_cds_NP_415438.1_894	0.969	747	K8943_RS21230	b0918
NZ_CP082949.1_cds_WP_000011644.1_397	NC_000913.3_cds_NP_416357.1_1839	0.987	657	K8943_RS02005	b1843
NZ_CP082949.1_cds_WP_000011937.1_792	NC_000913.3_cds_NP_416603.1_2082	0.981	966	K8943_RS04030	b2100
NZ_CP082949.1_cds_WP_000012167.1_1504	NC_000913.3_cds_YP_026186.1_2834	0.966	1368	K8943_RS07695	b4464
NZ_CP082949.1_cds_WP_000012245.1_1503	NC_000913.3_cds_NP_417359.1_2833	0.982	1317	K8943_RS07690	b2883
NZ_CP082949.1_cds_WP_000012318.1_938	NC_000913.3_cds_NP_416733.4_2209	0.965	1689	K8943_RS04765	b2230
NZ_CP082949.1_cds_WP_000012531.1_2978	NC_000913.3_cds_NP_418604.1_4101	0.953	660	K8943_RS15295	b4183
NZ_CP082949.1_cds_WP_000012936.1_3053	NC_000913.3_cds_NP_418675.1_4167	0.904	992	K8943_RS15670	b4254
NZ_CP082949.1_cds_WP_000013046.1_3045	NC_000913.3_cds_NP_418666.1_4160	0.982	936	K8943_RS15630	b4245
NZ_CP082949.1_cds_WP_000013157.1_1741	NC_000913.3_cds_NP_417485.4_2961	0.989	828	K8943_RS08890	b3012
NZ_CP082949.1_cds_WP_000013513.1_912	NC_000913.3_cds_NP_416708.1_2184	0.978	864	K8943_RS04635	b2204
NZ_CP082949.1_cds_WP_000013801.1_12	NC_000913.3_cds_NP_415940.1_1411	0.979	1344	K8943_RS00060	b1423
NZ_CP082949.1_cds_WP_000013964.1_2297	NC_000913.3_cds_NP_418007.3_3488	0.974	2334	K8943_RS11730	b3551
NZ_CP082949.1_cds_WP_000014036.1_154	NC_000913.3_cds_NP_416119.1_1594	0.99	1389	K8943_RS00780	b1602
NZ_CP082949.1_cds_WP_000014320.1_3342	NC_000913.3_cds_NP_414639.2_98	0.978	513	K8943_RS17135	b0097
NZ_CP082949.1_cds_WP_000014594.1_2302	NC_000913.3_cds_NP_418012.1_3493	0.995	213	K8943_RS11755	b3556
NZ_CP082949.1_cds_WP_000015480.1_1354	NC_000913.3_cds_NP_417212.1_2692	0.973	342	K8943_RS06925	b2732
NZ_CP082949.1_cds_WP_000015814.1_2938	NC_000913.3_cds_NP_418565.1_4059	0.97	1257	K8943_RS15080	b4141
NZ_CP082949.1_cds_WP_000016564.1_3335	NC_000913.3_cds_NP_414632.1_91	0.985	1068	K8943_RS17100	b0090
NZ_CP082949.1_cds_WP_000016907.1_1456	NC_000913.3_cds_NP_417294.4_2774	0.977	1252	K8943_RS07450	b2817
NZ_CP082949.1_cds_WP_000017106.1_1572	NC_000913.3_cds_NP_417424.1_2900	0.973	417	K8943_RS08040	b2949
NZ_CP082949.1_cds_WP_000017354.1_2816	NC_000913.3_cds_NP_418465.4_3957	0.98	2424	K8943_RS14465	b4041
NZ_CP082949.1_cds_WP_000017687.1_1727	NC_000913.3_cds_NP_417469.1_2947	0.973	1179	K8943_RS08820	b2995
NZ_CP082949.1_cds_WP_000018588.1_267	NC_000913.3_cds_NP_416229.1_1707	0.988	984	K8943_RS01355	b1714
NZ_CP082949.1_cds_WP_000018633.1_33	NC_000913.3_cds_NP_415963.1_1434	0.965	234	K8943_RS00165	b1446
NZ_CP082949.1_cds_WP_000018671.1_1828	NC_000913.3_cds_NP_417555.4_3033	0.957	1137	K8943_RS09330	b3084
NZ_CP082949.1_cds_WP_000018758.1_1734	NC_000913.3_cds_NP_417476.1_2954	0.979	885	K8943_RS08855	b3003
NZ_CP082949.1_cds_WP_000019194.1_707	NC_000913.3_cds_NP_416518.2_1996	0.984	1359	K8943_RS03605	b2014
NZ_CP082949.1_cds_WP_000019227.1_2814	NC_000913.3_cds_NP_418463.4_3955	0.983	498	K8943_RS14455	b4039
NZ_CP082949.1_cds_WP_000019358.1_2852	NC_000913.3_cds_NP_418486.1_3979	0.981	323	K8943_RS14645	b4062
NZ_CP082949.1_cds_WP_000019588.1_484	NC_000913.3_cds_NP_416384.1_1867	0.989	744	K8943_RS02445	b1870
NZ_CP082949.1_cds_WP_000019802.1_3712	NC_000913.3_cds_NP_414963.1_421	0.96	330	K8943_RS19025	b0429
NZ_CP082949.1_cds_WP_000019944.1_797	NC_000913.3_cds_NP_416608.1_2087	0.985	273	K8943_RS04055	b2105
NZ_CP082949.1_cds_WP_000020177.1_4537	NC_000913.3_cds_NP_415712.1_1170	0.98	735	K8943_RS23265	b1194
NZ_CP082949.1_cds_WP_000020390.1_1090	NC_000913.3_cds_NP_416901.1_2381	0.936	1257	K8943_RS05560	b2406
NZ_CP082949.1_cds_WP_000020492.1_4382	NC_000913.3_cds_NP_415593.1_1048	0.966	696	K8943_RS22465	b1075
NZ_CP082949.1_cds_WP_000020737.1_1230	NC_000913.3_cds_NP_417061.1_2547	0.969	906	K8943_RS06255	b2566
NZ_CP082949.1_cds_WP_000020884.1_4378	NC_000913.3_cds_NP_415589.1_1044	0.986	294	K8943_RS22445	b1071
NZ_CP082949.1_cds_WP_000021034.1_1106	NC_000913.3_cds_NP_416917.1_2398	0.949	1098	K8943_RS05640	b2422
NZ_CP082949.1_cds_WP_000021342.1_1390	NC_000913.3_cds_NP_417254.4_2733	0.946	786	K8943_RS07105	b2774
NZ_CP082949.1_cds_WP_000022287.1_2649	NC_000913.3_cds_NP_418320.2_3814	0.709	667	K8943_RS13565	b3884
NZ_CP082949.1_cds_WP_000022450.1_2018	NC_000913.3_cds_NP_417749.1_3225	0.968	414	K8943_RS10330	b3291
NZ_CP082949.1_cds_WP_000022766.1_1879	NC_000913.3_cds_NP_417606.1_3081	0.973	861	K8943_RS09590	b3137
NZ_CP082949.1_cds_WP_000023081.1_2751	NC_000913.3_cds_NP_418405.1_3898	0.988	951	K8943_RS14095	b3974
NZ_CP082949.1_cds_WP_000023919.1_3605	NC_000913.3_cds_NP_414841.1_302	0.985	1428	K8943_RS18485	b0307
NZ_CP082949.1_cds_WP_000024392.1_2354	NC_000913.3_cds_NP_418067.1_3552	0.976	252	K8943_RS12015	b3610
NZ_CP082949.1_cds_WP_000024569.1_4204	NC_000913.3_cds_NP_415519.1_978	0.986	306	K8943_RS21575	b0999
NZ_CP082949.1_cds_WP_000024725.1_400	NC_000913.3_cds_NP_416360.1_1842	0.971	660	K8943_RS02020	b1846
NZ_CP082949.1_cds_WP_000024904.1_2258	NC_000913.3_cds_NP_417971.1_3452	0.973	3114	K8943_RS11530	b3514
NZ_CP082949.1_cds_WP_000024951.1_2535	NC_000913.3_cds_NP_418222.1_3715	0.953	1476	K8943_RS12955	b3774
NZ_CP082949.1_cds_WP_000025458.1_3956	NC_000913.3_cds_NP_415257.1_709	0.968	870	K8943_RS20290	b0729
NZ_CP082949.1_cds_WP_000025883.1_2277	NC_000913.3_cds_NP_417990.4_3471	0.972	2619	K8943_RS11625	b3533
NZ_CP082949.1_cds_WP_000026030.1_2560	NC_000913.3_cds_NP_418248.1_3740	0.982	741	K8943_RS13100	b3804
NZ_CP082949.1_cds_WP_000026133.1_1704	NC_000913.3_cds_NP_417453.1_2931	0.969	1500	K8943_RS08705	b2979
NZ_CP082949.1_cds_WP_000026784.1_3842	NC_000913.3_cds_NP_415126.1_586	0.954	1611	K8943_RS19685	b0594
NZ_CP082949.1_cds_WP_000027205.1_4085	NC_000913.3_cds_NP_415385.1_840	0.994	729	K8943_RS20970	b0864
NZ_CP082949.1_cds_WP_000027563.1_35	NC_000913.3_cds_NP_415965.1_1436	0.971	519	K8943_RS00175	b1448
NZ_CP082949.1_cds_WP_000027720.1_2668	NC_000913.3_cds_NP_418327.1_3821	0.97	930	K8943_RS13660	b3891
NZ_CP082949.1_cds_WP_000028519.1_4608	NC_000913.3_cds_NP_415771.1_1233	0.99	744	K8943_RS23635	b1255
NZ_CP082949.1_cds_WP_000028878.1_2758	NC_000913.3_cds_NP_418413.1_3905	0.997	366	K8943_RS14150	b3986
NZ_CP082949.1_cds_WP_000028953.1_1197	NC_000913.3_cds_NP_417023.1_2507	0.984	324	K8943_RS06090	b2528
NZ_CP082949.1_cds_WP_000029464.1_262	NC_000913.3_cds_NP_416224.1_1702	0.986	750	K8943_RS01330	b1709
NZ_CP082949.1_cds_WP_000029616.1_1330	NC_000913.3_cds_NP_417190.1_2670	0.976	1440	K8943_RS06805	b2710
NZ_CP082949.1_cds_WP_000029769.1_3851	NC_000913.3_cds_NP_415135.1_595	0.934	1221	K8943_RS19730	b0602
NZ_CP082949.1_cds_WP_000030016.1_1934	NC_000913.3_cds_NP_417665.1_3143	0.989	567	K8943_RS09875	b3198
NZ_CP082949.1_cds_WP_000030537.1_1935	NC_000913.3_cds_NP_417666.1_3144	0.994	576	K8943_RS09880	b3199
NZ_CP082949.1_cds_WP_000030657.1_3965	NC_000913.3_cds_NP_415267.1_720	0.984	1266	K8943_RS20335	b0739
NZ_CP082949.1_cds_WP_000030923.1_3998	NC_000913.3_cds_NP_415299.1_752	0.952	678	K8943_RS20535	b0778
NZ_CP082949.1_cds_WP_000031415.1_1843	NC_000913.3_cds_NP_417569.1_3048	0.99	306	K8943_RS09405	b3098
NZ_CP082949.1_cds_WP_000031783.1_2067	NC_000913.3_cds_NP_417798.1_3274	0.997	1185	K8943_RS10575	b3339
NZ_CP082949.1_cds_WP_000031784.1_2752	NC_000913.3_cds_NP_418407.1_3899	0.995	1185	K8943_RS14120	b3980
NZ_CP082949.1_cds_WP_000032640.1_1041	NC_000913.3_cds_NP_416841.1_2318	0.785	252	K8943_RS05280	b2339
NZ_CP082949.1_cds_WP_000032955.1_4573	NC_000913.3_cds_NP_415742.1_1203	0.972	3744	K8943_RS23445	b1224
NZ_CP082949.1_cds_WP_000034375.1_1544	NC_000913.3_cds_NP_417400.1_2876	0.976	1080	K8943_RS07895	b2925
NZ_CP082949.1_cds_WP_000034402.1_1099	NC_000913.3_cds_NP_416909.1_2390	0.979	972	K8943_RS05605	b2414
NZ_CP082949.1_cds_WP_000034602.1_3961	NC_000913.3_cds_NP_415263.1_716	0.972	294	K8943_RS20315	b0735
NZ_CP082949.1_cds_WP_000034825.1_3870	NC_000913.3_cds_NP_415156.1_616	1.0	210	K8943_RS19825	b0623
NZ_CP082949.1_cds_WP_000035479.1_3402	NC_000913.3_cds_NP_414692.1_151	0.934	1062	K8943_RS17435	b0150
NZ_CP082949.1_cds_WP_000035581.1_2581	NC_000913.3_cds_YP_026263.3_3759	0.969	1830	K8943_RS13205	b3822
NZ_CP082949.1_cds_WP_000035632.1_3300	NC_000913.3_cds_NP_414602.1_60	0.954	2352	K8943_RS16925	b0060
NZ_CP082949.1_cds_WP_000036371.1_496	NC_000913.3_cds_NP_416397.1_1881	0.977	1050	K8943_RS02505	b1883
NZ_CP082949.1_cds_WP_000036723.1_1398	NC_000913.3_cds_NP_417259.1_2739	0.988	1299	K8943_RS07145	b2779
NZ_CP082949.1_cds_WP_000037984.1_1494	NC_000913.3_cds_NP_417350.1_2824	0.976	933	K8943_RS07645	b2874
NZ_CP082949.1_cds_WP_000038456.1_1078	NC_000913.3_cds_NP_416888.1_2368	0.99	327	K8943_RS05470	b2387
NZ_CP082949.1_cds_WP_000039743.1_1392	NC_000913.3_cds_NP_417256.1_2735	0.954	1479	K8943_RS07115	b2776
NZ_CP082949.1_cds_WP_000039862.1_1379	NC_000913.3_cds_NP_417242.1_2722	0.978	735	K8943_RS07050	b2762
NZ_CP082949.1_cds_WP_000040136.1_1255	NC_000913.3_cds_NP_417084.1_2574	0.967	732	K8943_RS06400	b2593
NZ_CP082949.1_cds_WP_000041666.1_138	NC_000913.3_cds_NP_416104.1_1577	0.973	2427	K8943_RS00690	b1587
NZ_CP082949.1_cds_WP_000041976.1_2958	NC_000913.3_cds_NP_418585.4_4081	0.977	1053	K8943_RS15180	b4161
NZ_CP082949.1_cds_WP_000042365.1_3317	NC_000913.3_cds_NP_414615.4_74	0.958	1092	K8943_RS17010	b0073
NZ_CP082949.1_cds_WP_000042430.1_1005	NC_000913.3_cds_NP_416804.1_2282	0.981	645	K8943_RS05100	b2301
NZ_CP082949.1_cds_WP_000042538.1_3999	NC_000913.3_cds_NP_415300.1_753	0.971	2020	K8943_RS20540	b0779
NZ_CP082949.1_cds_WP_000042632.1_3874	NC_000913.3_cds_NP_415161.1_619	0.993	966	K8943_RS19845	b0628
NZ_CP082949.1_cds_WP_000042886.1_2201	NC_000913.3_cds_NP_417924.1_3403	0.98	360	K8943_RS11245	b3467
NZ_CP082949.1_cds_WP_000043335.1_1269	NC_000913.3_cds_NP_417099.4_2588	0.992	549	K8943_RS06470	b2608
NZ_CP082949.1_cds_WP_000043483.1_724	NC_000913.3_cds_NP_416533.1_2013	0.959	1407	K8943_RS03690	b2029
NZ_CP082949.1_cds_WP_000043612.1_744	NC_000913.3_cds_NP_416556.1_2036	0.966	966	K8943_RS03790	b2052
NZ_CP082949.1_cds_WP_000044111.1_3405	NC_000913.3_cds_NP_414695.1_154	0.959	1983	K8943_RS17450	b0153
NZ_CP082949.1_cds_WP_000044401.1_1426	NC_000913.3_cds_NP_417288.1_2768	0.99	918	K8943_RS07285	b2808
NZ_CP082949.1_cds_WP_000044679.1_4401	NC_000913.3_cds_NP_415613.1_1068	0.995	1242	K8943_RS22560	b1095
NZ_CP082949.1_cds_WP_000044711.1_3154	NC_000913.3_cds_NP_418733.1_4223	0.998	597	K8943_RS16180	b4313
NZ_CP082949.1_cds_WP_000045172.1_2605	NC_000913.3_cds_NP_418275.1_3768	0.992	762	K8943_RS13325	b3831
NZ_CP082949.1_cds_WP_000045295.1_3406	NC_000913.3_cds_NP_414696.1_155	0.978	1281	K8943_RS17455	b0154
NZ_CP082949.1_cds_WP_000045478.1_4008	NC_000913.3_cds_NP_415309.1_762	0.967	957	K8943_RS20585	b0788
NZ_CP082949.1_cds_WP_000045646.1_64	NC_000913.3_cds_NP_415993.1_1461	0.977	654	K8943_RS00320	b1476
NZ_CP082949.1_cds_WP_000045736.1_2120	NC_000913.3_cds_NP_417856.1_3333	0.985	561	K8943_RS10840	b3397
NZ_CP082949.1_cds_WP_000045978.1_2315	NC_000913.3_cds_NP_418025.1_3508	0.975	1182	K8943_RS11820	b3568
NZ_CP082949.1_cds_WP_000046300.1_1797	NC_000913.3_cds_NP_417526.1_3004	0.97	1302	K8943_RS09170	b3054
NZ_CP082949.1_cds_WP_000046637.1_3692	NC_000913.3_cds_NP_414943.1_401	0.99	972	K8943_RS18925	b0409
NZ_CP082949.1_cds_WP_000046657.1_151	NC_000913.3_cds_NP_416116.1_1590	0.99	330	K8943_RS00760	b1599
NZ_CP082949.1_cds_WP_000046749.1_3229	NC_000913.3_cds_NP_418808.1_4302	0.982	1668	K8943_RS16570	b4391
NZ_CP082949.1_cds_WP_000046817.1_1402	NC_000913.3_cds_NP_417265.1_2745	0.987	1302	K8943_RS07165	b2785
NZ_CP082949.1_cds_WP_000047069.1_1944	NC_000913.3_cds_NP_417675.1_3153	0.983	729	K8943_RS09925	b3208
