query	target	identity	alignment_length	mismatches	gap_openings	query_start	query_end	target_start	target_end	evalue	bit_score	genome_id	query_gene	target_info	target_location	strand	start	end	locus_tag	chr_id	midpoint	queryGenes_locus	locusTag_locus	set_queryGenes_locus	start_min	end_max	set_locusTag_locus	variant	Info	Cluster
AYG21323.1|CP032667.1	AE014073.1_cds_AAP18812.1_3264	0.948	876	45	0	1	876	1	876	5.097999999999999e-190	584	GCA_000007405.1	yihT	lcl|AE014073.1_cds_AAP18812.1_3264 [gene=yihT] [locus_tag=S3793] [protein=putative aldolase] [protein_id=AAP18812.1] [location=3687923..3688801] [gbkey=CDS]	3687923..3688801	+	3687923	3688801	S3793	AE014073.1	3688362.0	yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	S3798/S3798/S3796/S3795/S3794/S3793/S3792/S3791/S3790	yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	3685120	3696200	S3790~S3791~S3792~S3793~S3794~S3795~S3796~S3798	long	shigellosis	7 (B1)
AYG21324.1|CP032667.1	AE014073.1_cds_AAP18813.1_3265	1.0	1239	0	0	1	1239	1	1239	5.334999999999999e-298	902	GCA_000007405.1	yihS	lcl|AE014073.1_cds_AAP18813.1_3265 [gene=yihS] [locus_tag=S3794] [protein=hypothetical protein] [protein_id=AAP18813.1] [location=3688818..3690059] [gbkey=CDS]	3688818..3690059	+	3688818	3690059	S3794	AE014073.1	3689438.5	yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	S3798/S3798/S3796/S3795/S3794/S3793/S3792/S3791/S3790	yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	3685120	3696200	S3790~S3791~S3792~S3793~S3794~S3795~S3796~S3798	long	shigellosis	7 (B1)
AYG21325.1|CP032667.1	AE014073.1_cds_AAP18814.1_3266	0.986	900	13	0	25	924	1	900	1.297e-204	627	GCA_000007405.1	yihR	lcl|AE014073.1_cds_AAP18814.1_3266 [gene=yihR] [locus_tag=S3795] [protein=putative aldose-1-epimerase] [protein_id=AAP18814.1] [location=3690197..3691099] [gbkey=CDS]	3690197..3691099	+	3690197	3691099	S3795	AE014073.1	3690648.0	yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	S3798/S3798/S3796/S3795/S3794/S3793/S3792/S3791/S3790	yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	3685120	3696200	S3790~S3791~S3792~S3793~S3794~S3795~S3796~S3798	long	shigellosis	7 (B1)
AYG21326.1|CP032667.1	AE014073.1_cds_AAP18815.1_3267	1.0	2034	0	0	1	2034	1	2034	0.0	1463	GCA_000007405.1	yihQ	lcl|AE014073.1_cds_AAP18815.1_3267 [gene=yihQ] [locus_tag=S3796] [protein=putative glycosidase] [protein_id=AAP18815.1] [location=3691298..3693334] [gbkey=CDS]	3691298..3693334	+	3691298	3693334	S3796	AE014073.1	3692316.0	yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	S3798/S3798/S3796/S3795/S3794/S3793/S3792/S3791/S3790	yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	3685120	3696200	S3790~S3791~S3792~S3793~S3794~S3795~S3796~S3798	long	shigellosis	7 (B1)
AYG21328.1|CP032667.1	AE014073.1_cds_AAP18816.1_3268	0.95	1401	70	0	1	1401	1	1401	7.569e-308	934	GCA_000007405.1	yihO	lcl|AE014073.1_cds_AAP18816.1_3268 [gene=yihO] [locus_tag=S3798] [protein=putative permease] [protein_id=AAP18816.1] [location=3694797..3696200] [gbkey=CDS]	3694797..3696200	+	3694797	3696200	S3798	AE014073.1	3695498.5	yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	S3798/S3798/S3796/S3795/S3794/S3793/S3792/S3791/S3790	yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	3685120	3696200	S3790~S3791~S3792~S3793~S3794~S3795~S3796~S3798	long	shigellosis	7 (B1)
AYG21320.1|CP032667.1	AE014075.1_cds_AAN83253.1_4722	0.709	780	227	0	1	780	1	780	3.645e-117	372	GCA_000007445.1	yihW	lcl|AE014075.1_cds_AAN83253.1_4722 [gene=yihW] [locus_tag=c4824] [protein=Hypothetical transcriptional regulator yihW] [protein_id=AAN83253.1] [location=complement(4588956..4589744)] [gbkey=CDS]	complement(4588956..4589744)	-	4588956	4589744	c4824	AE014075.1	4589350.0	yihT/yihU/yihV/yihW	c4827/c4826/c4825/c4824	yihT~yihU~yihV~yihW	4588956	4592643	c4824~c4825~c4826~c4827	short	ExPEC	6 (B2)
AYG21321.1|CP032667.1	AE014075.1_cds_AAN83254.1_4723	0.67	894	295	0	1	894	52	945	1.3039999999999998e-125	398	GCA_000007445.1	yihV	lcl|AE014075.1_cds_AAN83254.1_4723 [gene=yihV] [locus_tag=c4825] [protein=Hypothetical sugar kinase yihV] [protein_id=AAN83254.1] [location=complement(4589784..4590731)] [gbkey=CDS]	complement(4589784..4590731)	-	4589784	4590731	c4825	AE014075.1	4590257.5	yihT/yihU/yihV/yihW	c4827/c4826/c4825/c4824	yihT~yihU~yihV~yihW	4588956	4592643	c4824~c4825~c4826~c4827	short	ExPEC	6 (B2)
AYG21322.1|CP032667.1	AE014075.1_cds_AAN83255.1_4724	0.717	876	248	0	1	876	202	1077	4.341e-134	423	GCA_000007445.1	yihU	lcl|AE014075.1_cds_AAN83255.1_4724 [gene=yihU] [locus_tag=c4826] [protein=Hypothetical oxidoreductase yihU] [protein_id=AAN83255.1] [location=4590652..4591731] [gbkey=CDS]	4590652..4591731	+	4590652	4591731	c4826	AE014075.1	4591191.5	yihT/yihU/yihV/yihW	c4827/c4826/c4825/c4824	yihT~yihU~yihV~yihW	4588956	4592643	c4824~c4825~c4826~c4827	short	ExPEC	6 (B2)
AYG21323.1|CP032667.1	AE014075.1_cds_AAN83256.1_4725	0.672	864	283	0	10	873	22	885	1.263e-121	387	GCA_000007445.1	yihT	lcl|AE014075.1_cds_AAN83256.1_4725 [gene=yihT] [locus_tag=c4827] [protein=Hypothetical protein yihT] [protein_id=AAN83256.1] [location=4591756..4592643] [gbkey=CDS]	4591756..4592643	+	4591756	4592643	c4827	AE014075.1	4592199.5	yihT/yihU/yihV/yihW	c4827/c4826/c4825/c4824	yihT~yihU~yihV~yihW	4588956	4592643	c4824~c4825~c4826~c4827	short	ExPEC	6 (B2)
AYG21329.1|CP032667.1	AP009240.1_cds_BAG79682.1_4158	1.0	690	0	0	1	690	1	690	1.478e-159	492	GCA_000010385.1	ompL	lcl|AP009240.1_cds_BAG79682.1_4158 [locus_tag=ECSE_4158] [protein=conserved hypothetical protein] [protein_id=BAG79682.1] [location=complement(4323789..4324481)] [gbkey=CDS]	complement(4323789..4324481)	-	4323789	4324481	ECSE_4158	AP009240.1	4324135.0	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21327.1|CP032667.1	AP009240.1_cds_BAG79683.1_4159	0.688	1365	423	0	10	1374	1	1356	1.719e-201	627	GCA_000010385.1	yihP	lcl|AP009240.1_cds_BAG79683.1_4159 [locus_tag=ECSE_4159] [protein=putative transport protein] [protein_id=BAG79683.1] [location=complement(4324549..4325952)] [gbkey=CDS]	complement(4324549..4325952)	-	4324549	4325952	ECSE_4159	AP009240.1	4325250.5	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21327.1|CP032667.1	AP009240.1_cds_BAG79684.1_4160	0.961	1383	54	0	1	1383	1	1383	9.991e-308	933	GCA_000010385.1	yihP	lcl|AP009240.1_cds_BAG79684.1_4160 [locus_tag=ECSE_4160] [protein=putative transport protein] [protein_id=BAG79684.1] [location=complement(4325995..4327380)] [gbkey=CDS]	complement(4325995..4327380)	-	4325995	4327380	ECSE_4160	AP009240.1	4326687.5	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21326.1|CP032667.1	AP009240.1_cds_BAG79685.1_4161	1.0	2034	0	0	1	2034	1	2034	0.0	1471	GCA_000010385.1	yihQ	lcl|AP009240.1_cds_BAG79685.1_4161 [locus_tag=ECSE_4161] [protein=putative glycosidase] [protein_id=BAG79685.1] [location=complement(4327426..4329462)] [gbkey=CDS]	complement(4327426..4329462)	-	4327426	4329462	ECSE_4161	AP009240.1	4328444.0	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21325.1|CP032667.1	AP009240.1_cds_BAG79686.1_4162	0.98	900	18	0	25	924	1	900	7.257e-203	622	GCA_000010385.1	yihR	lcl|AP009240.1_cds_BAG79686.1_4162 [locus_tag=ECSE_4162] [protein=putative aldose-1-epimerase] [protein_id=BAG79686.1] [location=complement(4329661..4330563)] [gbkey=CDS]	complement(4329661..4330563)	-	4329661	4330563	ECSE_4162	AP009240.1	4330112.0	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21324.1|CP032667.1	AP009240.1_cds_BAG79687.1_4163	1.0	1239	0	0	1	1239	1	1239	3.987e-299	906	GCA_000010385.1	yihS	lcl|AP009240.1_cds_BAG79687.1_4163 [locus_tag=ECSE_4163] [protein=conserved hypothetical protein] [protein_id=BAG79687.1] [location=complement(4330701..4331942)] [gbkey=CDS]	complement(4330701..4331942)	-	4330701	4331942	ECSE_4163	AP009240.1	4331321.5	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21323.1|CP032667.1	AP009240.1_cds_BAG79688.1_4164	0.952	876	42	0	1	876	1	876	9.798e-191	586	GCA_000010385.1	yihT	lcl|AP009240.1_cds_BAG79688.1_4164 [locus_tag=ECSE_4164] [protein=putative aldolase] [protein_id=BAG79688.1] [location=complement(4331959..4332837)] [gbkey=CDS]	complement(4331959..4332837)	-	4331959	4332837	ECSE_4164	AP009240.1	4332398.0	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21322.1|CP032667.1	AP009240.1_cds_BAG79689.1_4165	0.934	894	59	0	1	894	1	894	2.4389999999999997e-190	585	GCA_000010385.1	yihU	lcl|AP009240.1_cds_BAG79689.1_4165 [locus_tag=ECSE_4165] [protein=putative dehydrogenase] [protein_id=BAG79689.1] [location=complement(4332861..4333757)] [gbkey=CDS]	complement(4332861..4333757)	-	4332861	4333757	ECSE_4165	AP009240.1	4333309.0	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21321.1|CP032667.1	AP009240.1_cds_BAG79690.1_4166	0.956	894	39	0	1	894	1	894	8.161e-196	601	GCA_000010385.1	yihV	lcl|AP009240.1_cds_BAG79690.1_4166 [locus_tag=ECSE_4166] [protein=putative kinase] [protein_id=BAG79690.1] [location=4333925..4334821] [gbkey=CDS]	4333925..4334821	+	4333925	4334821	ECSE_4166	AP009240.1	4334373.0	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
AYG21320.1|CP032667.1	AP009240.1_cds_BAG79691.1_4167	0.935	783	51	0	1	783	1	783	2.581e-166	514	GCA_000010385.1	yihW	lcl|AP009240.1_cds_BAG79691.1_4167 [locus_tag=ECSE_4167] [protein=putative transcriptional regulator] [protein_id=BAG79691.1] [location=4334855..4335640] [gbkey=CDS]	4334855..4335640	+	4334855	4335640	ECSE_4167	AP009240.1	4335247.5	ompL/yihP/yihO/yihP/yihO/yihQ/yihR/yihS/yihT/yihU/yihV/yihW	ECSE_4158/ECSE_4159/ECSE_4159/ECSE_4160/ECSE_4160/ECSE_4161/ECSE_4162/ECSE_4163/ECSE_4164/ECSE_4165/ECSE_4166/ECSE_4167	ompL~yihO~yihP~yihQ~yihR~yihS~yihT~yihU~yihV~yihW	4323789	4335640	ECSE_4158~ECSE_4159~ECSE_4160~ECSE_4161~ECSE_4162~ECSE_4163~ECSE_4164~ECSE_4165~ECSE_4166~ECSE_4167	long		7 (B1)
